sensor,gateway,n_pkts,snr_db_median,freq_mhz,sensor_bw_hz,sensor_sf
sensor01,gatewayA,57170,10.0,904.0,125000.0,7.0
sensor01,gatewayB,4767,-6.0,904.0,125000.0,7.0
sensor01,gatewayC,48535,-2.0,905.0,125000.0,7.0
sensor02,gatewayA,54787,6.0,905.0,125000.0,7.0
sensor02,gatewayB,20,-7.0,905.0,125000.0,7.0
sensor02,gatewayC,75011,15.0,904.0,125000.0,7.0
sensor03,gatewayA,56567,12.0,904.0,125000.0,7.0
sensor03,gatewayB,5801,-7.0,905.0,125000.0,7.0
sensor03,gatewayC,61006,15.0,904.0,125000.0,7.0
sensor04,gatewayA,55636,9.0,904.0,125000.0,7.0
sensor04,gatewayB,537,-8.0,904.0,125000.0,7.0
sensor04,gatewayC,57805,1.0,904.0,125000.0,7.0
sensor05,gatewayA,61680,14.0,904.0,125000.0,7.0
sensor05,gatewayB,624,-7.75,904.0,125000.0,7.0
sensor05,gatewayC,59134,2.0,905.0,125000.0,7.0
sensor06,gatewayA,62717,15.0,904.0,125000.0,7.0
sensor06,gatewayB,207,-8.0,905.0,125000.0,7.0
sensor06,gatewayC,40463,-1.0,904.0,125000.0,7.0
sensor07,gatewayA,58723,12.0,904.0,125000.0,7.0
sensor07,gatewayB,18306,-5.5,904.0,125000.0,7.0
sensor07,gatewayC,60730,4.0,904.0,125000.0,7.0
sensor08,gatewayA,58237,9.0,904.0,125000.0,7.0
sensor08,gatewayB,40054,-2.0,904.0,125000.0,7.0
sensor08,gatewayC,14,-9.0,905.0,125000.0,7.0
sensor09,gatewayA,58957,9.0,904.0,125000.0,7.0
sensor09,gatewayB,23472,-4.75,905.0,125000.0,7.0
sensor09,gatewayC,251,-9.0,904.0,125000.0,7.0
sensor10,gatewayA,2044,12.0,904.0,125000.0,7.0
sensor10,gatewayB,101,-7.0,904.0,125000.0,7.0
sensor10,gatewayC,2702,6.0,904.0,125000.0,7.0
