shift_db,method,sensors,median_error_m
-20.0,regression,10,222.0118682413248
-20.0,traditional,10,2206.0102422285927
-15.0,regression,10,206.00673128256238
-15.0,traditional,10,1295.9549861648356
-10.0,regression,10,192.25246303545347
-10.0,traditional,10,698.9487691745697
-6.0,regression,10,174.95978911753866
-6.0,traditional,10,395.75613197933524
-3.0,regression,10,159.71366239581556
-3.0,traditional,10,243.12169814467745
0.0,regression,10,153.92359653798957
0.0,traditional,10,206.9889839782124
