sensor,n_gateways_used,x_est,y_est,x_true,y_true,error_m
sensor01,3,817.1842532720992,1779.2608589985161,201.00943465154864,-38.30408619183589,1919.1700646599497
sensor02,3,1400.8187574878084,2994.255769558584,96.18114053756834,-108.86838664122345,3366.2232309150813
sensor03,3,858.5459110868671,1653.9136480858988,89.92770232308884,-111.0478072025961,1925.0617884881826
sensor04,3,1214.010360706214,2170.6941488246225,186.06774614325977,-49.757163636242275,2446.849004299959
sensor05,3,472.0905744480012,656.5877274507101,61.296764611620716,18.605477264799664,758.7970122187921
sensor06,3,552.8137889258212,310.20694385470995,58.17880382102069,14.402309037425898,576.3368376817614
sensor07,3,602.0044450760349,1373.3790746097952,201.00943465154864,-38.30408619183589,1467.5306963999826
sensor08,3,832.0794524671385,2021.1097681292342,-146.984767873817,174.8454686930666,2089.7987010533734
sensor09,3,893.968372531552,1983.0164954016875,-144.13831490461993,165.6607677522661,2092.9518234588822
sensor10,3,935.1141362333262,1724.775257945172,143.0206189330293,-140.2031169689274,2026.217283276004
